x,y,z
-19318.9,-19318.9,1815.34
-19226,-19318.9,1809.95
-19318.9,-19226,1801.51
-19318.9,-19133.1,1789.41
-19226,-19226,1776.79
-19226,-19133.1,1765.88
-19133.1,-19226,1763.62
-19040.2,-19226,1755.91
-18947.4,-19226,1749.13
-19040.2,-19133.1,1742.02
-19040.2,-19040.2,1732.98
-18947.4,-19133.1,1724.28
-18947.4,-19040.2,1721.09
-18854.5,-19133.1,1712.05
-18761.6,-19133.1,1705.73
-18854.5,-19040.2,1701.01
-18947.4,-18947.4,1701.34
-18947.4,-18854.5,1692.5
-18854.5,-18947.4,1677.15
-18761.6,-19040.2,1679.28
-18668.7,-19040.2,1664.12
-18575.9,-19040.2,1655.02
-18668.7,-18947.4,1644.91
-18575.9,-18947.4,1641.26
-18483,-18854.5,1632.08
-18575.9,-18854.5,1626.3
-18483,-18761.6,1623.58
-18483,-18668.7,1623.64
-18575.9,-18761.6,1613.41
-18668.7,-18761.6,1603.84
-18575.9,-18668.7,1589.21
-18668.7,-18668.7,1578.58
-18761.6,-18575.9,1570.87
-18854.5,-18483,1565.35
-18854.5,-18390.1,1566.35
-18854.5,-18297.2,1565.88
-18854.5,-18204.3,1566.15
-18854.5,-18111.5,1566.28
-18854.5,-18018.6,1566.61
-18854.5,-17925.7,1566.68
-18854.5,-17832.8,1566.35
-18854.5,-17739.9,1566.21
-18854.5,-17647.1,1566.35
-18854.5,-17554.2,1566.08
-18854.5,-17461.3,1566.08
-18854.5,-17368.4,1566.28
-18854.5,-17275.5,1566.15
-18854.5,-17182.7,1566.08
-18761.6,-17089.8,1566.08
-18668.7,-16996.9,1565.35
-18575.9,-16904,1563.22
-18483,-16811.1,1564.55
-18390.1,-16718.3,1564.75
-18297.2,-16625.4,1563.95
-18204.3,-16532.5,1563.62
-18111.5,-16439.6,1563.29
-18018.6,-16346.7,1563.49
-17925.7,-16253.9,1563.75
-17832.8,-16253.9,1564.02
-17739.9,-16161,1563.09
-17647.1,-16068.1,1563.95
-17554.2,-16068.1,1564.62
-17461.3,-15975.2,1565.28
-17368.4,-15882.4,1566.08
-17275.5,-15789.5,1565.95
-17182.7,-15696.6,1566.01
-17089.8,-15696.6,1566.08
-16996.9,-15696.6,1565.82
-16904,-15696.6,1571.33
-16811.1,-15603.7,1572.26
-16718.3,-15510.8,1581.44
-16718.3,-15418,1588.22
-16625.4,-15418,1598.85
-16532.5,-15510.8,1616.07
-16532.5,-15418,1621.12
-16439.6,-15510.8,1632.68
-16439.6,-15418,1640.06
-16346.7,-15418,1645.91
-16253.9,-15418,1654.68
-16161,-15325.1,1652.56
-16068.1,-15232.2,1650.76
-16068.1,-15139.3,1642.52
-16068.1,-15046.4,1648.24
-15975.2,-14953.6,1661.93
-15882.4,-14860.7,1674.62
-15789.5,-14767.8,1686.39
-15789.5,-14860.7,1703.34
-15696.6,-14953.6,1717.89
-15696.6,-14860.7,1723.48
-15789.5,-14953.6,1733.65
-15789.5,-15046.4,1741.42
-15882.4,-15139.3,1740.16
-15882.4,-15232.2,1754.72
-15789.5,-15139.3,1778.45
-15696.6,-15046.4,1769.14
-15603.7,-15046.4,1794.33
-15510.8,-14953.6,1788.88
-15510.8,-15046.4,1781.11
-15418,-15139.3,1796.53
-15325.1,-15232.2,1807.16
-15325.1,-15325.1,1809.89
-15232.2,-15325.1,1815.8
-15139.3,-15325.1,1818.93
-15046.4,-15325.1,1820.06
-14953.6,-15325.1,1822.38
-14860.7,-15325.1,1824.84
-14767.8,-15325.1,1828.23
-14674.9,-15418,1834.95
-14582,-15325.1,1842.06
-14489.2,-15325.1,1846.78
-14489.2,-15418,1851.1
-14396.3,-15325.1,1857.54
-14303.4,-15232.2,1867.78
-14303.4,-15325.1,1874.96
-14210.5,-15232.2,1881.21
-14210.5,-15139.3,1885.26
-14117.6,-15139.3,1893.44
-14117.6,-15232.2,1901.01
-14210.5,-15325.1,1896.83
-14303.4,-15418,1903.94
-14303.4,-15510.8,1911.78
-14396.3,-15603.7,1912.51
-14489.2,-15696.6,1916.5
-14396.3,-15696.6,1929.26
-14303.4,-15603.7,1931.66
-14303.4,-15696.6,1938.7
-14210.5,-15789.5,1948.21
-14117.6,-15696.6,1949.14
-14024.8,-15696.6,1949.67
-13931.9,-15696.6,1954.72
-13839,-15696.6,1955.19
-13746.1,-15696.6,1957.51
-13653.3,-15696.6,1961.77
-13560.4,-15696.6,1968.75
-13560.4,-15603.7,1974.26
-13467.5,-15603.7,1982.7
-13374.6,-15510.8,1971.94
-13374.6,-15418,1970.27
-13281.7,-15325.1,1956.91
-13281.7,-15418,1950.53
-13188.9,-15325.1,1939.17
-13096,-15325.1,1929.99
-13003.1,-15325.1,1925.28
-13096,-15418,1922.48
-13003.1,-15418,1914.18
-12910.2,-15418,1912.18
-12817.3,-15510.8,1901.55
-12724.5,-15510.8,1899.75
-12631.6,-15510.8,1898.82
-12538.7,-15510.8,1891.38
-12445.8,-15418,1879.15
-12352.9,-15418,1873.5
-12260.1,-15510.8,1868.45
-12167.2,-15418,1862.33
-12167.2,-15510.8,1859.8
-12074.3,-15418,1854.75
-11981.4,-15325.1,1848.77
-11888.5,-15232.2,1842.52
-11795.7,-15232.2,1838.27
-11702.8,-15232.2,1835.68
-11609.9,-15232.2,1829.89
-11517,-15232.2,1823.78
-11609.9,-15325.1,1818.79
-11517,-15418,1813.48
-11517,-15325.1,1807.43
-11424.1,-15232.2,1803.04
-11424.1,-15139.3,1794.73
-11331.3,-15139.3,1784.3
-11238.4,-15139.3,1777.98
-11145.5,-15046.4,1766.42
-11145.5,-15139.3,1761.1
-11052.6,-15046.4,1747.81
-10959.8,-15046.4,1742.95
-10866.9,-15046.4,1728.6
-10774,-15046.4,1717.56
-10681.1,-14953.6,1712.31
-10681.1,-15046.4,1708.12
-10588.2,-14953.6,1691.91
-10588.2,-15046.4,1688.32
-10495.4,-14953.6,1675.95
-10495.4,-15046.4,1667.51
-10402.5,-14953.6,1656.41
-10309.6,-14860.7,1637.6
-10216.7,-14767.8,1626.57
-10123.8,-14674.9,1638.53
-10031,-14582,1642.45
-9938.08,-14582,1643.05
-9845.2,-14582,1628.43
-9752.32,-14489.2,1629.62
-9659.44,-14396.3,1635.14
-9566.56,-14396.3,1628.1
-9473.68,-14396.3,1638.13
-9380.8,-14396.3,1620.52
-9287.93,-14303.4,1627.9
-9195.05,-14210.5,1633.55
-9102.17,-14117.6,1647.9
-9009.29,-14024.8,1649.96
-8916.41,-13931.9,1649.63
-8823.53,-13931.9,1650.56
-8730.65,-13839,1654.62
-8637.77,-13746.1,1658.8
-8637.77,-13653.3,1663.99
-8544.89,-13560.4,1665.38
-8452.01,-13467.5,1665.98
-8452.01,-13374.6,1666.18
-8359.13,-13281.7,1665.92
-8359.13,-13188.9,1668.58
-8266.25,-13096,1675.16
-8266.25,-13003.1,1675.02
-8173.37,-12910.2,1690.91
-8173.37,-12817.3,1690.18
-8080.5,-12724.5,1694.83
-7987.62,-12631.6,1705.13
-7987.62,-12538.7,1709.99
-7894.74,-12445.8,1711.05
-7894.74,-12538.7,1726.34
-7801.86,-12445.8,1728.4
-7708.98,-12352.9,1745.74
-7801.86,-12260.1,1750.26
-7708.98,-12167.2,1756.05
-7616.1,-12074.3,1761.17
-7616.1,-11981.4,1776.19
-7523.22,-11888.5,1782.1
-7523.22,-11795.7,1780.24
-7523.22,-11702.8,1784.56
-7430.34,-11609.9,1783.37
-7430.34,-11517,1789.81
-7430.34,-11424.1,1793.2
-7337.46,-11331.3,1791.14
-7244.58,-11238.4,1797.86
-7151.7,-11145.5,1807.56
-7244.58,-11145.5,1815.4
-7151.7,-11052.6,1818.66
-7058.82,-11052.6,1825.11
-7151.7,-10959.8,1835.34
-7058.82,-10866.9,1837.34
-6965.94,-10959.8,1840.6
-6873.07,-10866.9,1845.18
-6873.07,-10774,1848.31
-6965.94,-10774,1854.69
-6873.07,-10681.1,1861.6
-6780.19,-10588.2,1867.71
-6687.31,-10495.4,1870.97
-6594.43,-10495.4,1874.43
-6687.31,-10402.5,1886.72
-6594.43,-10309.6,1887.65
-6501.55,-10216.7,1890.31
-6501.55,-10123.8,1897.89
-6408.67,-10031,1908.86
-6315.79,-9938.08,1912.12
-6315.79,-9845.2,1917.23
-6315.79,-9752.32,1922.68
-6315.79,-9659.44,1923.95
-6315.79,-9566.56,1919.23
-6408.67,-9473.68,1928.73
-6408.67,-9380.8,1932.99
-6408.67,-9287.93,1938.24
-6315.79,-9195.05,1941.1
-6408.67,-9102.17,1951.73
-6501.55,-9102.17,1955.39
-6408.67,-9009.29,1967.02
-6501.55,-9009.29,1970.87
-6594.43,-9009.29,1981.24
-6501.55,-8916.41,1992.61
-6594.43,-8916.41,2005.97
-6501.55,-8823.53,2021.52
-6408.67,-8730.65,2030.76
-6315.79,-8730.65,2034.88
-6222.91,-8730.65,2051.83
-6130.03,-8823.53,2056.22
-6037.15,-8916.41,2058.35
-5944.27,-9009.29,2081.81
-5944.27,-9102.17,2089.12
-5944.27,-9195.05,2093.31
-5944.27,-9287.93,2100.02
-5944.27,-9380.8,2129.2
-5944.27,-9473.68,2125.68
-5944.27,-9566.56,2126.67
-5944.27,-9659.44,2134.65
-5944.27,-9752.32,2139.64
-5851.39,-9845.2,2144.55
-5758.51,-9938.08,2162.1
-5758.51,-9845.2,2180.58
-5851.39,-9752.32,2196.73
-5758.51,-9752.32,2209.96
-5665.63,-9845.2,2212.49
-5572.76,-9938.08,2225.05
-5572.76,-9845.2,2236.28
-5479.88,-9938.08,2244.26
-5479.88,-9845.2,2253.3
-5572.76,-9752.32,2264.6
-5479.88,-9752.32,2270.58
-5387,-9845.2,2286.2
-5387,-9752.32,2294.31
-5479.88,-9659.44,2308.07
-5572.76,-9566.56,2324.22
-5479.88,-9566.56,2334.65
-5387,-9566.56,2335.65
-5479.88,-9473.68,2346.42
-5387,-9473.68,2359.58
-5387,-9380.8,2364.23
-5294.12,-9287.93,2373.74
-5294.12,-9380.8,2377.59
-5201.24,-9380.8,2385.24
-5108.36,-9380.8,2387.63
-5201.24,-9287.93,2392.88
-5201.24,-9195.05,2397.2
-5108.36,-9287.93,2408.5
-5015.48,-9287.93,2419.47
-4922.6,-9380.8,2422.66
-4922.6,-9287.93,2429.64
-5015.48,-9195.05,2435.62
-5015.48,-9102.17,2439.74
-4922.6,-9195.05,2448.31
-4829.72,-9195.05,2454.7
-4922.6,-9102.17,2460.08
-4922.6,-9009.29,2462.01
-4829.72,-9102.17,2472.38
-4736.84,-9102.17,2480.62
-4829.72,-9009.29,2483.14
-4829.72,-8916.41,2494.11
-4736.84,-9009.29,2495.97
-4643.96,-9009.29,2498.56
-4736.84,-8916.41,2510.26
-4643.96,-8916.41,2515.58
-4551.08,-8916.41,2516.91
-4458.2,-9009.29,2522.89
-4365.33,-9102.17,2518.37
-4272.45,-9195.05,2514.18
-4179.57,-9287.93,2508.54
-4179.57,-9195.05,2501.49
-4179.57,-9102.17,2494.51
-4086.69,-9195.05,2487.46
-3993.81,-9195.05,2479.16
-3900.93,-9195.05,2470.91
-3808.05,-9195.05,2467.39
-3900.93,-9102.17,2459.75
-3993.81,-9009.29,2454.63
-3900.93,-9009.29,2443.26
-3808.05,-9102.17,2436.35
-3808.05,-9009.29,2430.57
-3900.93,-8916.41,2425.78
-3900.93,-8823.53,2420.2
-3993.81,-8730.65,2422.46
-3993.81,-8637.77,2414.75
-3993.81,-8544.89,2411.42
-3993.81,-8452.01,2408.43
-3900.93,-8359.13,2388.36
-3900.93,-8452.01,2379.72
-3808.05,-8544.89,2362.3
-3808.05,-8637.77,2359.98
-3715.17,-8730.65,2349.94
-3715.17,-8637.77,2340.3
-3622.29,-8730.65,2329.54
-3622.29,-8637.77,2324.55
-3529.41,-8730.65,2312.12
-3436.53,-8637.77,2289.99
-3436.53,-8730.65,2283.01
-3343.65,-8637.77,2276.36
-3250.77,-8637.77,2260.08
-3343.65,-8730.65,2248.71
-3250.77,-8730.65,2242.4
-3157.89,-8730.65,2235.75
-3065.02,-8637.77,2222.32
-2972.14,-8544.89,2215.48
-2879.26,-8544.89,2209.03
-2786.38,-8452.01,2199.32
-2693.5,-8359.13,2193.87
-2600.62,-8266.25,2189.22
-2507.74,-8173.37,2185.43
-2414.86,-8080.5,2180.65
-2414.86,-7987.62,2179.52
-2321.98,-7894.74,2176.86
-2229.1,-7801.86,2172.27
-2136.22,-7708.98,2172.27
-2043.34,-7708.98,2168.35
-2043.34,-7616.1,2163.03
-1950.46,-7523.22,2157.32
-1857.59,-7523.22,2156.32
-1764.71,-7430.34,2154.39
-1671.83,-7430.34,2143.76
-1764.71,-7337.46,2133.52
-1671.83,-7337.46,2118.3
-1764.71,-7244.58,2101.15
-1857.59,-7151.7,2098.82
-1857.59,-7058.82,2086.39
-1857.59,-6965.94,2075.49
-1764.71,-7058.82,2061.34
-1671.83,-7151.7,2058.68
-1578.95,-7151.7,2055.09
-1671.83,-7058.82,2049.7
-1671.83,-6965.94,2045.32
-1578.95,-7058.82,2040
-1578.95,-6965.94,2034.88
-1578.95,-6873.07,2033.75
-1486.07,-6965.94,2025.58
-1486.07,-6873.07,2023.65
-1393.19,-6965.94,2016.34
-1393.19,-6873.07,2013.28
-1300.31,-6780.19,2005.5
-1300.31,-6873.07,2002.71
-1207.43,-6780.19,1994.54
-1114.55,-6687.31,1988.62
-1021.67,-6594.43,1984.37
-928.793,-6594.43,1980.38
-835.913,-6594.43,1976.92
-743.034,-6594.43,1974.73
-650.155,-6501.55,1972.14
-557.276,-6501.55,1970.87
-464.396,-6501.55,1969.48
-371.517,-6501.55,1968.81
-278.638,-6408.67,1968.21
-185.759,-6408.67,1967.95
-92.8793,-6408.67,1967.22
3.63798e-12,-6315.79,1966.35
92.8793,-6315.79,1966.15
185.759,-6315.79,1966.49
278.638,-6222.91,1968.28
371.517,-6222.91,1970.01
464.396,-6222.91,1966.15
557.276,-6130.03,1973.4
650.155,-6130.03,1965.02
743.034,-6130.03,1959.44
835.913,-6130.03,1958.58
928.793,-6130.03,1952.99
1021.67,-6037.15,1946.81
1114.55,-6037.15,1930.46
1114.55,-5944.27,1921.22
1207.43,-5944.27,1903.94
1300.31,-5944.27,1897.82
1393.19,-5944.27,1892.71
1486.07,-5944.27,1885.46
1578.95,-5944.27,1877.68
1671.83,-5944.27,1871.1
1764.71,-5851.39,1858.81
1857.59,-5758.51,1857.94
1950.46,-5665.63,1859.41
2043.34,-5572.76,1855.95
2136.22,-5479.88,1852.29
2136.22,-5387,1855.62
2043.34,-5294.12,1852.83
1950.46,-5201.24,1846.58
2043.34,-5108.36,1837.6
2136.22,-5201.24,1827.83
2136.22,-5108.36,1819.13
2229.1,-5201.24,1810.75
2229.1,-5108.36,1795.99
2321.98,-5201.24,1783.03
2414.86,-5108.36,1771.2
2321.98,-5015.48,1762.36
2321.98,-4922.6,1754.65
2414.86,-4829.72,1741.09
2321.98,-4829.72,1738.57
2414.86,-4922.6,1721.88
2507.74,-4922.6,1716.9
2507.74,-4829.72,1713.71
2507.74,-4736.84,1712.78
2600.62,-4829.72,1700.95
2693.5,-4829.72,1695.83
2693.5,-4922.6,1689.31
2786.38,-4829.72,1674.29
2786.38,-4922.6,1664.79
2786.38,-5015.48,1652.29
2879.26,-5108.36,1648.97
2972.14,-5015.48,1644.18
3065.02,-4922.6,1637.07
3157.89,-4922.6,1630.22
3065.02,-4829.72,1619.46
3157.89,-4829.72,1617.73
3250.77,-4829.72,1610.48
3157.89,-4736.84,1600.51
3250.77,-4736.84,1592.27
3157.89,-4643.96,1584.89
3250.77,-4551.08,1578.98
3343.65,-4458.2,1572.46
3436.53,-4365.33,1564.29
3529.41,-4272.45,1558.44
3622.29,-4179.57,1555.91
3715.17,-4086.69,1554.52
3808.05,-3993.81,1551.99
3900.93,-3900.93,1548.4
3993.81,-3808.05,1542.55
4086.69,-3808.05,1538.36
4179.57,-3715.17,1532.05
4272.45,-3622.29,1529.39
4365.33,-3529.41,1525.2
4458.2,-3436.53,1521.81
4458.2,-3343.65,1519.62
4458.2,-3250.77,1517.43
4551.08,-3157.89,1514.83
4643.96,-3065.02,1508.98
4736.84,-2972.14,1508.19
4829.72,-2879.26,1506.66
4922.6,-2879.26,1505.93
5015.48,-2786.38,1505.66
5108.36,-2786.38,1505.4
5201.24,-2693.5,1505.46
5294.12,-2693.5,1504
5387,-2600.62,1495.36
5479.88,-2507.74,1488.71
5572.76,-2414.86,1485.72
5665.63,-2414.86,1485.32
5758.51,-2321.98,1479.27
5851.39,-2321.98,1473.62
5944.27,-2321.98,1468.71
6037.15,-2321.98,1463.12
6130.03,-2321.98,1457.94
6222.91,-2321.98,1452.95
6315.79,-2321.98,1447.83
6408.67,-2321.98,1442.18
6501.55,-2321.98,1437.27
6594.43,-2229.1,1432.48
6687.31,-2136.22,1426.9
6594.43,-2043.34,1417.46
6501.55,-1950.46,1409.95
6408.67,-1857.59,1401.31
6408.67,-1764.71,1400.51
6501.55,-1671.83,1390.87
6594.43,-1578.95,1377.98
6594.43,-1671.83,1371.13
6594.43,-1764.71,1361.09
6687.31,-1671.83,1355.51
6780.19,-1671.83,1352.19
6687.31,-1764.71,1345.54
6780.19,-1857.59,1337.63
6873.07,-1764.71,1329.06
6965.94,-1857.59,1321.08
6965.94,-1950.46,1315.83
7058.82,-1857.59,1304.59
7058.82,-1950.46,1299.14
7151.7,-1950.46,1293.89
7151.7,-2043.34,1290.24
7244.58,-2043.34,1285.78
7244.58,-2136.22,1280.73
7244.58,-2229.1,1277.68
7337.46,-2321.98,1271.69
7430.34,-2414.86,1267.57
7523.22,-2507.74,1263.92
7616.1,-2600.62,1261.79
7708.98,-2693.5,1254.94
7708.98,-2786.38,1251.69
7801.86,-2879.26,1247.96
7801.86,-2972.14,1244.37
7894.74,-3065.02,1242.45
7987.62,-3157.89,1237.59
7894.74,-3250.77,1233.54
7894.74,-3343.65,1229.55
7894.74,-3436.53,1229.02
7987.62,-3529.41,1224.17
7987.62,-3622.29,1222.77
8080.5,-3715.17,1218.25
8080.5,-3808.05,1215.66
7987.62,-3715.17,1209.48
7987.62,-3808.05,1207.55
7987.62,-3900.93,1205.42
7987.62,-3993.81,1203.5
7894.74,-4086.69,1201.97
7801.86,-4179.57,1198.31
7801.86,-4272.45,1197.58
7894.74,-4365.33,1190.73
7987.62,-4458.2,1180.17
7987.62,-4551.08,1182.16
8080.5,-4643.96,1176.98
7987.62,-4736.84,1178.31
7987.62,-4829.72,1175.25
7987.62,-4922.6,1174.65
7987.62,-5015.48,1175.45
7987.62,-5108.36,1166.27
7987.62,-5201.24,1157.5
7987.62,-5294.12,1151.92
7987.62,-5387,1143.08
7987.62,-5479.88,1137.43
7987.62,-5572.76,1130.91
8080.5,-5665.63,1124.13
8080.5,-5758.51,1109.24
8173.37,-5851.39,1105.59
8266.25,-5944.27,1108.38
8359.13,-5944.27,1095.42
8452.01,-6037.15,1083.59
8544.89,-6130.03,1083.06
8544.89,-6222.91,1077.07
8637.77,-6315.79,1076.08
8637.77,-6408.67,1074.42
8637.77,-6501.55,1074.55
8730.65,-6594.43,1070.23
8637.77,-6594.43,1064.98
8730.65,-6687.31,1056.07
8823.53,-6687.31,1055.8
8916.41,-6780.19,1053.74
9009.29,-6873.07,1053.08
9102.17,-6965.94,1052.95
9195.05,-7058.82,1051.75
9195.05,-7151.7,1045.97
9287.93,-7151.7,1041.18
9380.8,-7244.58,1028.35
9380.8,-7337.46,1026.23
9380.8,-7430.34,1025.43
9473.68,-7523.22,1017.98
9566.56,-7430.34,1010.8
9659.44,-7523.22,1004.82
9752.32,-7616.1,1002.16
9845.2,-7616.1,999.505
9938.08,-7616.1,1001.3
10031,-7616.1,1001.57
10123.8,-7616.1,998.309
10216.7,-7616.1,996.647
10309.6,-7616.1,998.708
10402.5,-7523.22,1001.83
10495.4,-7523.22,1001.7
10588.2,-7616.1,995.65
10681.1,-7616.1,992.393
10774,-7616.1,990.864
10866.9,-7616.1,989.07
10959.8,-7616.1,985.746
11052.6,-7616.1,985.348
11145.5,-7708.98,981.16
11238.4,-7801.86,979.897
11331.3,-7894.74,975.71
11424.1,-7894.74,973.649
11517,-7987.62,967.866
11609.9,-7987.62,964.144
11702.8,-7987.62,961.818
11795.7,-7987.62,957.896
11888.5,-7987.62,952.778
11981.4,-7987.62,951.449
12074.3,-7987.62,950.053
12167.2,-7987.62,949.255
12260.1,-7987.62,949.255
12352.9,-8080.5,946.862
12445.8,-8080.5,943.738
12538.7,-8080.5,941.611
12631.6,-8080.5,940.548
12724.5,-8080.5,940.614
12817.3,-8080.5,940.481
12910.2,-8173.37,937.69
13003.1,-8266.25,934.433
13096,-8266.25,932.372
13188.9,-8359.13,930.578
13281.7,-8359.13,929.248
13374.6,-8452.01,927.321
13467.5,-8544.89,925.327
13560.4,-8637.77,923.466
13653.3,-8730.65,920.408
13746.1,-8823.53,919.411
13839,-8823.53,916.819
13931.9,-8823.53,915.955
14024.8,-8916.41,913.961
14117.6,-8916.41,911.435
14210.5,-9009.29,910.305
14303.4,-9102.17,907.846
14396.3,-9102.17,906.25
14489.2,-9195.05,904.389
14582,-9287.93,898.606
14674.9,-9287.93,898.407
14767.8,-9380.8,896.745
14860.7,-9473.68,896.679
14953.6,-9473.68,896.214
15046.4,-9566.56,895.017
15139.3,-9659.44,895.682
15232.2,-9752.32,895.017
15325.1,-9845.2,891.228
15418,-9938.08,890.497
15510.8,-10031,886.243
15510.8,-10123.8,883.983
15603.7,-10216.7,882.588
15696.6,-10216.7,879.065
15789.5,-10309.6,880.527
15882.4,-10309.6,876.605
15882.4,-10402.5,871.687
15975.2,-10495.4,864.043
16068.1,-10588.2,864.242
16068.1,-10681.1,859.789
