kind,label,ms,model,texture,notes
"model","Terrain courant",1236.84,"models/current/terrain_current.obj","models/current/terrain_current_texture.png","Relief courant au moment de l'export"
"texture","Uniform color",127.563,"","textures/metrics/00_uniform.png","Texture scalaire exportée depuis le radio button dem_uniform"
"texture","Hypsometric elevation",200.329,"","textures/metrics/01_elevation.png","Texture scalaire exportée depuis le radio button dem_elevation"
"texture","Normals",197.036,"","textures/metrics/02_normals.png","Texture scalaire exportée depuis le radio button dem_normals"
"texture","Slope gradient norm",210.903,"","textures/metrics/03_slope_gradient.png","Texture scalaire exportée depuis le radio button dem_slopeGradient"
"texture","Slope average",212.9,"","textures/metrics/04_slope_average.png","Texture scalaire exportée depuis le radio button dem_slopeAvg"
"texture","Aspect",215.318,"","textures/metrics/05_aspect.png","Texture scalaire exportée depuis le radio button dem_aspect"
"texture","Eastness",213.315,"","textures/metrics/06_eastness.png","Texture scalaire exportée depuis le radio button dem_aspect_east"
"texture","Northness",199.169,"","textures/metrics/07_northness.png","Texture scalaire exportée depuis le radio button dem_aspect_north"
"texture","Laplacian",181.301,"","textures/metrics/08_laplacian.png","Texture scalaire exportée depuis le radio button dem_laplacian"
"texture","Fractal Laplacian",10670.3,"","textures/metrics/09_fract_laplacian.png","Texture scalaire exportée depuis le radio button dem_fractLaplacian"
"texture","Mean curvature",249.477,"","textures/metrics/10_curvature_mean.png","Texture scalaire exportée depuis le radio button dem_curvMean"
"texture","Gaussian curvature",261.269,"","textures/metrics/11_curvature_gaussian.png","Texture scalaire exportée depuis le radio button dem_curvGaussian"
"texture","Topographic Position Index",222.716,"","textures/metrics/12_tpi.png","Texture scalaire exportée depuis le radio button dem_tpi"
"texture","Local relief",659.441,"","textures/metrics/13_local_relief.png","Texture scalaire exportée depuis le radio button dem_localRelief"
"texture","Ruggedness",435.671,"","textures/metrics/14_ruggedness.png","Texture scalaire exportée depuis le radio button dem_ruggedness"
"texture","Stream area log",237.27,"","textures/metrics/15_stream_area_log.png","Texture scalaire exportée depuis le radio button dem_streamAreaLog"
"texture","Wetness index",237.292,"","textures/metrics/16_wetness.png","Texture scalaire exportée depuis le radio button dem_wetness"
"texture","Stream power",261.418,"","textures/metrics/17_stream_power.png","Texture scalaire exportée depuis le radio button dem_streamPower"
"texture","Sky view approximation",208.26,"","textures/metrics/18_skyview_approx.png","Texture scalaire exportée depuis le radio button dem_skyviewApprox"
"texture","Geomorphons",434.953,"","textures/metrics/19_geomorphons.png","Texture scalaire exportée depuis le radio button dem_geomorphons"
"texture","Landforms TPI class",584.962,"","textures/metrics/20_landforms_tpi_class.png","Texture scalaire exportée depuis le radio button dem_tpiClass"
"texture","Vegetation suitability - baseline",176.558,"","textures/vegetation/baseline_suitability.png","steps=80 seed=0.02 growth=0.6 death=0.15 diffusion=0.08 slopeMax=35 wetMu=0 wetSigma=1"
"texture","Vegetation density - baseline",200.864,"","textures/vegetation/baseline_density.png","Simulation vegetation density, steps=80"
"texture","Vegetation suitability - selective_slope",204.367,"","textures/vegetation/selective_slope_suitability.png","steps=80 seed=0.02 growth=0.6 death=0.15 diffusion=0.08 slopeMax=12 wetMu=0 wetSigma=1"
"texture","Vegetation density - selective_slope",177.997,"","textures/vegetation/selective_slope_density.png","Simulation vegetation density, steps=80"
"texture","Vegetation suitability - wide_wetness",190.165,"","textures/vegetation/wide_wetness_suitability.png","steps=80 seed=0.02 growth=0.6 death=0.15 diffusion=0.08 slopeMax=35 wetMu=0 wetSigma=50"
"texture","Vegetation density - wide_wetness",176.38,"","textures/vegetation/wide_wetness_density.png","Simulation vegetation density, steps=80"
"texture","Vegetation suitability - low_diffusion",171.088,"","textures/vegetation/low_diffusion_suitability.png","steps=120 seed=0.02 growth=0.6 death=0.15 diffusion=0.01 slopeMax=35 wetMu=0 wetSigma=50"
"texture","Vegetation density - low_diffusion",172.351,"","textures/vegetation/low_diffusion_density.png","Simulation vegetation density, steps=120"
"texture","Vegetation suitability - high_diffusion",170.537,"","textures/vegetation/high_diffusion_suitability.png","steps=120 seed=0.02 growth=0.6 death=0.15 diffusion=0.35 slopeMax=35 wetMu=0 wetSigma=50"
"texture","Vegetation density - high_diffusion",130.804,"","textures/vegetation/high_diffusion_density.png","Simulation vegetation density, steps=120"
"texture","Vegetation suitability - strong_growth",174.823,"","textures/vegetation/strong_growth_suitability.png","steps=120 seed=0.04 growth=1.6 death=0.1 diffusion=0.08 slopeMax=35 wetMu=0 wetSigma=50"
"texture","Vegetation density - strong_growth",189.077,"","textures/vegetation/strong_growth_density.png","Simulation vegetation density, steps=120"
"texture","Snow cover 500m",6686.29,"","textures/snow/snow_alt_500m.png","Snow line altitude=500m"
"texture","Snow cover 1200m",6659.37,"","textures/snow/snow_alt_1200m.png","Snow line altitude=1200m"
"texture","Snow cover 2200m",6736.48,"","textures/snow/snow_alt_2200m.png","Snow line altitude=2200m"
"texture","Snow cover 3200m",6482.47,"","textures/snow/snow_alt_3200m.png","Snow line altitude=3200m"
"texture","Manual road path overlay",6423.03,"","textures/roads/road_path_overlay.png","Trajectoire de route entre deux points fixes, coût pente élevé"
"texture","Road network overlay",6423.94,"","textures/roads/road_network_overlay.png","Réseau procédural entre 5 villes déterministes"
"texture","Traffic snapshot",0,"","textures/roads/traffic_snapshot.png","Image statique avec voitures jaunes réparties sur le réseau"
"model","Terrain avec route terraformée",7481.32,"models/road_terraform/terrain_road_terraform.obj","models/road_terraform/terrain_road_terraform_texture.png","Route width=15 blend=20"
"model","Thermal erosion soft",1235.9,"models/thermal_soft/terrain_thermal_soft.obj","models/thermal_soft/terrain_thermal_soft_texture.png","thermalErode(iter=20, talus=80, rate=0.5)"
"model","Thermal erosion strong",1905.71,"models/thermal_strong/terrain_thermal_strong.obj","models/thermal_strong/terrain_thermal_strong_texture.png","thermalErode(iter=80, talus=45, rate=0.5)"
"model","Hydraulic erosion UI parameters",1235.33,"models/hydraulic_ui/terrain_hydraulic_ui.obj","models/hydraulic_ui/terrain_hydraulic_ui_texture.png","Paramètres hydrauliques actuels de l'interface"
"model","Hydraulic erosion strong preset",1523.3,"models/hydraulic_strong/terrain_hydraulic_strong.obj","models/hydraulic_strong/terrain_hydraulic_strong_texture.png","hydraulicErode(iter=800,rain=0.02,evap=0.45,flow=0.12,cap=8,ero=0.25,dep=0.20)"
"model","Sculpted terrain",1698.88,"models/sculpted/terrain_sculpted_hill.obj","models/sculpted/terrain_sculpted_hill_texture.png","applyBrush(center, radius=1200m, intensity=250m)"
